Name,Team,Age,GP,MPG,FTA,PPG,RPG,APG,SPG,BPG
"Greg,Oden",Por,23,22,21,99.9,0.605,0.647,11.1,0.9,5.7
"Garrett,Temple",San,27,23,13,105.8,0.516,0.546,6.2,0.9,2.4
"Gerald,Wallace",Cha,26,27,76,98.8,0.511,0.586,18.2,2.1,9.5
"Hilton,Armstrong",Nor,33,25,18,107.7,0.38,0.409,2.8,0.9,3.4
"Hasheem,Thabeet",Mem,31,22,68,104.9,0.588,0.605,3.1,0.2,2.1
"Hedo,Turkoglu",Tor,33,30,74,113.8,0.49,0.54,11.3,4.1,8.3
"Hakim,Warrick",Chi,29,27,28,108.5,0.483,0.56,8.7,0.6,3.4
"Hakim,Warrick",Mil,22,27,48,107.1,0.483,0.54,10.2,0.7,4
"Ime,Udoka",Sac,24,32,69,109.9,0.432,0.47,3.6,0.8,3.1
"Joel,Anthony",Mia,24,27,80,104.1,0.478,0.546,2.7,0.2,2.2
"Jose,Barea",Dal,31,25,78,110.2,0.493,0.526,7.6,3.3,5
"Jerryd,Bayless",Por,30,21,74,110.1,0.444,0.534,8.5,2.3,4
"Jonathan,Bender",Nyk,21,28,25,112.1,0.47,0.529,4.7,0.6,2.4
"Josh,Boone",Njn,32,25,63,107.5,0.525,0.509,4,0.5,3.4
"Jon,Brockman",Sac,26,22,52,110.8,0.534,0.564,2.8,0.4,2.7
"Jose,Calderon",Tor,30,28,68,116.5,0.543,0.57,10.3,5.9,6.9
"Jamal,Crawford",Atl,28,29,79,110.7,0.523,0.573,18,3,6.1
"Jared,Dudley",Pho,33,24,82,111,0.582,0.612,8.2,1.4,4.9
"Jordan,Farmar",Lal,38,23,82,105.9,0.518,0.535,7.2,1.5,3.5
"Jonny,Flynn",Min,28,20,81,114.4,0.457,0.511,13.5,4.4,6.7
"Jeff,Foster",Ind,30,33,16,108.3,0.478,0.49,3.1,1.3,4.7
"J.R.,Giddens",Nyk,25,24,11,111.4,0.487,0.513,4.1,0.6,2.8
"Joey,Graham",Den,34,27,63,108.7,0.527,0.571,4.2,0.3,1.9
"Jeff,Green",Okc,25,23,82,104.7,0.503,0.531,15.1,1.6,7.1
"James,Harden",Okc,24,22,76,104.3,0.484,0.551,9.9,1.8,5.1
"Jarvis,Hayes",Njn,24,28,45,112.7,0.512,0.521,7.8,0.9,3.7
"J.J.,Hickson",Cle,34,21,81,103.7,0.554,0.58,8.5,0.5,3.7
"Jordan,Hill",Hou,23,22,23,107.4,0.532,0.567,6.4,0.6,3.6
"Jordan,Hill",Nyk,23,22,24,109.2,0.452,0.484,4.2,0.3,2
"Jrue,Holiday",Phi,20,19,73,111.7,0.503,0.527,8,3.8,6.2
"Josh,Howard",Dal,33,29,31,108.5,0.43,0.492,12.5,1.4,5.1
"Juwan,Howard",Por,23,36,73,108.4,0.509,0.538,6,0.8,4.3
"Jarrett,Jack",Tor,22,26,82,115.8,0.542,0.599,11.4,5,7.2
"Jared,Jeffries",Hou,26,28,18,107.8,0.435,0.459,4.9,1,4
"Jared,Jeffries",Nyk,24,28,52,111.3,0.487,0.524,5.5,1.6,5.8
"Jonas,Jerebko",Det,30,22,80,111.3,0.511,0.545,9.3,0.7,4.9
"James,Johnson",Chi,29,22,66,104.2,0.485,0.525,4.2,0.7,2.6
"Joe,Johnson",Atl,31,28,75,109.4,0.505,0.539,21.3,4.9,9.5
"James,Jones",Mia,25,29,36,108.4,0.517,0.556,4.1,0.5,2.1
"Jason,Kapono",Phi,29,28,57,115.4,0.523,0.527,5.7,0.7,2.4
"Jason,Kidd",Dal,32,36,80,104.9,0.554,0.577,10.3,9.1,12.2
"Jamaal,Magloire",Mia,21,31,36,101.2,0.5,0.47,2.1,0,0
"Jason,Maxiell",Det,22,26,76,111.1,0.511,0.531,6.8,0.5,3.8
"JaVale,McGee",Was,24,22,60,105.3,0.506,0.538,6.4,0.2,2.4
"Josh,McRoberts",Ind,22,22,42,105.9,0.552,0.553,4.3,1,3.3
"Jodie,Meeks",Phi,22,22,19,113.9,0.544,0.566,5.9,0.9,2.5
"Jodie,Meeks",Mil,23,22,41,105.5,0.427,0.454,4.1,0.5,2.2
"Jamario,Moon",Cle,25,29,61,102.7,0.526,0.555,4.9,0.8,3.5
"Jameer,Nelson",Orl,24,27,65,105.8,0.51,0.54,12.6,5.4,7.7
"Joakim,Noah",Chi,21,24,64,101.4,0.504,0.557,10.7,2.1,8.8
"Jermaine,O'Neal",Mia,27,31,70,103.5,0.529,0.563,13.6,1.3,6.3
"Jannero,Pargo",Chi,30,30,63,107.8,0.396,0.429,5.5,1.4,2.9
"Jeff,Pendergraph",Por,28,22,39,104.5,0.662,0.705,2.7,0,0
"Johan,Petro",Den,22,23,36,104.5,0.535,0.553,3.4,0.4,2.6
"James,Posey",Nor,31,33,77,110.3,0.483,0.525,5.2,1.5,5.2
"Josh,Powell",Lal,24,27,63,106.1,0.384,0.407,2.7,0.6,2.1
"Joel,Przybilla",Por,26,30,30,102,0.523,0.567,4.1,0.3,3.8
"J.J.,Redick",Orl,21,25,82,107.3,0.54,0.606,9.6,1.9,4.3
"Jason,Richardson",Pho,20,28,79,111,0.553,0.574,15.7,1.8,6.6
"John,Salmons",Mil,21,30,30,107.7,0.518,0.581,19.9,3.3,7.3
"John,Salmons",Chi,27,30,51,106.7,0.485,0.529,12.7,2.5,6.6
"James,Singleton",Was,22,28,32,107.8,0.389,0.454,6.1,0.7,4.9
"James,Singleton",Dal,34,28,25,101.5,0.414,0.443,2.4,0.4,1.9
"Jason,Smith",Phi,34,23,56,109.3,0.46,0.491,3.4,0.6,2.5
"Josh,Smith",Atl,23,23,81,101.7,0.505,0.536,15.7,4.2,10.9
"J.R.,Smith",Den,35,24,75,107.5,0.491,0.516,15.4,2.4,5.9
"Jerry,Stackhouse",Mil,23,35,42,107.1,0.479,0.517,8.5,1.7,4.3
